entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
3580,13,Top 5000,Top 5000,top5000,art.,ο,(definite) the,,needs_review
3581,13,Top 5000,Top 5000,top5000,part.,να,added before dependent or present verb forms to form different subjunctive moods,added before dependent or present verb forms to form different subjunctive moods photo,generated
3582,13,Top 5000,Top 5000,top5000,v.,είμαι,there is,there is photo,generated
3583,13,Top 5000,Top 5000,top5000,part.,δεν,not,,needs_review
3584,13,Top 5000,Top 5000,top5000,part.,θα,added before present verb forms to form continuous or imperfective future tense,added before present verb forms to form continuous or imperfective future tense photo,generated
3585,13,Top 5000,Top 5000,top5000,conj.,και,also,also photo,generated
3586,13,Top 5000,Top 5000,top5000,pron.,μου,"(personal, indirect object) me",,needs_review
3587,13,Top 5000,Top 5000,top5000,prep./pron.,με,with,with photo,generated
3588,13,Top 5000,Top 5000,top5000,prep.,για,"(time, duration, takes accusative): for",,needs_review
3589,13,Top 5000,Top 5000,top5000,pron.,σου,your,your photo,generated
3590,13,Top 5000,Top 5000,top5000,pron.,που,where,where photo,generated
3591,13,Top 5000,Top 5000,top5000,prep./pron.,σε,"you (2nd person singular, accusative)",,needs_review
3592,13,Top 5000,Top 5000,top5000,det./pron.,αυτός,this,this photo,generated
3593,13,Top 5000,Top 5000,top5000,pron.,τι,what?,what? photo,generated
3594,13,Top 5000,Top 5000,top5000,pron.,του,"(personal, indirect object, masculine and neuter) him, it",,needs_review
3595,13,Top 5000,Top 5000,top5000,conj.,ότι,that,that photo,generated
3596,13,Top 5000,Top 5000,top5000,prep.,από,(position): from,,needs_review
3597,13,Top 5000,Top 5000,top5000,pron.,της,"(personal, indirect object, feminine) her",,needs_review
3598,13,Top 5000,Top 5000,top5000,adv.,όχι,no (negative reply),,needs_review
3599,13,Top 5000,Top 5000,top5000,adv.,ναι,yes,,needs_review
3600,13,Top 5000,Top 5000,top5000,art./num.,ένας,"(indefinite) a, an",,needs_review
3601,13,Top 5000,Top 5000,top5000,conj.,αν,whether,whether photo,generated
3602,13,Top 5000,Top 5000,top5000,conj.,αλλά,but,,needs_review
3603,13,Top 5000,Top 5000,top5000,adv.,εδώ,here,here photo,generated
3604,13,Top 5000,Top 5000,top5000,pron.,τους,"(personal): their (3rd person masculine plural, genitive)",,needs_review
3605,13,Top 5000,Top 5000,top5000,pron.,σας,"(personal): your (2nd person plural, genitive)",,needs_review
3606,13,Top 5000,Top 5000,top5000,pron.,μας,"(personal): our (1st person plural, genitive)",,needs_review
3607,13,Top 5000,Top 5000,top5000,v.,πρέπει,must,must photo,generated
3608,13,Top 5000,Top 5000,top5000,adv.,πολύ,very,very photo,generated
3609,13,Top 5000,Top 5000,top5000,inter./conj.,γιατί,because,because photo,generated
3610,13,Top 5000,Top 5000,top5000,conj.,πως,(interrogative) how (in what way or manner; in what state; to what extent),,needs_review
3611,13,Top 5000,Top 5000,top5000,adv.,τώρα,now,,needs_review
3612,13,Top 5000,Top 5000,top5000,pron.,εγώ,selfishness,selfishness photo,generated
3613,13,Top 5000,Top 5000,top5000,interj.,εντάξει,all right,all right photo,generated
3614,13,Top 5000,Top 5000,top5000,pron.,κάτι,something,something photo,generated
3615,13,Top 5000,Top 5000,top5000,v.,ξέρω,know of,know of photo,generated
3616,13,Top 5000,Top 5000,top5000,v.,έχω,have,have photo,generated
3617,13,Top 5000,Top 5000,top5000,part.,μην,not,,needs_review
3618,13,Top 5000,Top 5000,top5000,adv.,έτσι,thus,thus photo,generated
3619,13,Top 5000,Top 5000,top5000,pron.,εσύ,you,,needs_review
3620,13,Top 5000,Top 5000,top5000,adv.,καλά,Nominative,Nominative photo,generated
3621,13,Top 5000,Top 5000,top5000,v.,θέλω,want,want photo,generated
3622,13,Top 5000,Top 5000,top5000,conj.,όταν,when,when photo,generated
3623,13,Top 5000,Top 5000,top5000,v.,μπορώ,) it is possible,) it is possible photo,generated
3624,13,Top 5000,Top 5000,top5000,v.,κάνω,make,make photo,generated
3625,13,Top 5000,Top 5000,top5000,adv.,μόνο,only,only photo,generated
3626,13,Top 5000,Top 5000,top5000,adv.,μαζί,together,together photo,generated
3627,13,Top 5000,Top 5000,top5000,adv.,εκεί,there,there photo,generated
3628,13,Top 5000,Top 5000,top5000,prep.,σαν,like,like photo,generated
3629,13,Top 5000,Top 5000,top5000,n.,όλα,everything,everything photo,generated
3630,13,Top 5000,Top 5000,top5000,pron.,τίποτα,nothing,nothing photo,generated
3631,13,Top 5000,Top 5000,top5000,interj.,ευχαριστώ,thank you!,thank you! photo,generated
3632,13,Top 5000,Top 5000,top5000,inter.,πώς,(interrogative) how (in what way or manner; in what state; to what extent),,needs_review
3633,13,Top 5000,Top 5000,top5000,conj.,ή,Lower-case eta,Lower-case eta photo,generated
3634,13,Top 5000,Top 5000,top5000,adv.,τόσο,Nominative and accusative singular neuter,Nominative and accusative singular neuter photo,generated
3635,13,Top 5000,Top 5000,top5000,adv.,ποτέ,when,when photo,generated
3636,13,Top 5000,Top 5000,top5000,det./pron.,αυτοί,this,this photo,generated
3637,13,Top 5000,Top 5000,top5000,adv.,απλά,simply,simply photo,generated
3638,13,Top 5000,Top 5000,top5000,interj.,έλα,you don't say,you don't say photo,generated
3639,13,Top 5000,Top 5000,top5000,conj./interj.,λοιπόν,"so, therefore, right, well, then (introduces a logical conclusion)",,needs_review
3640,13,Top 5000,Top 5000,top5000,v.,υπάρχω,exist,exist photo,generated
3641,13,Top 5000,Top 5000,top5000,adv.,ακόμα,more,more photo,generated
3642,13,Top 5000,Top 5000,top5000,adv.,μέσα,as affirmative response,as affirmative response photo,generated
3643,13,Top 5000,Top 5000,top5000,n.,το σπίτι,house,house photo,generated
3644,13,Top 5000,Top 5000,top5000,adv.,τότε,then,then photo,generated
3645,13,Top 5000,Top 5000,top5000,adv.,πιο,more,more photo,generated
3646,13,Top 5000,Top 5000,top5000,adv.,ίσως,might,might photo,generated
3647,13,Top 5000,Top 5000,top5000,adv.,πού,where,where photo,generated
3648,13,Top 5000,Top 5000,top5000,interj.,παρακαλώ,please,please photo,generated
3649,13,Top 5000,Top 5000,top5000,n.,ο κύριος,gentleman,gentleman photo,generated
3650,13,Top 5000,Top 5000,top5000,v.,νομίζω,think,think photo,generated
3651,13,Top 5000,Top 5000,top5000,prep./adv./conj.,μετά,afterwards,afterwards photo,generated
3652,13,Top 5000,Top 5000,top5000,adv.,πριν,before,before photo,generated
3653,13,Top 5000,Top 5000,top5000,interj.,γεια,cheers,cheers photo,generated
3654,13,Top 5000,Top 5000,top5000,adv.,πάντα,always,always photo,generated
3655,13,Top 5000,Top 5000,top5000,adv.,λίγο,Nominative,Nominative photo,generated
3656,13,Top 5000,Top 5000,top5000,adv.,πίσω,behind,behind photo,generated
3657,13,Top 5000,Top 5000,top5000,adv./conj.,όπως,"as, like",,needs_review
3658,13,Top 5000,Top 5000,top5000,n.,η δουλειά,work,work photo,generated
3659,13,Top 5000,Top 5000,top5000,n./adv.,η αλήθεια,truth,truth photo,generated
3660,13,Top 5000,Top 5000,top5000,pron.,ποιος,which,which photo,generated
3661,13,Top 5000,Top 5000,top5000,v.,λέω,discuss,discuss photo,generated
3662,13,Top 5000,Top 5000,top5000,num.,δύο,two,,needs_review
3663,13,Top 5000,Top 5000,top5000,pron.,όλοι,Nominative and vocative plural masculine,Nominative and vocative plural masculine photo,generated
3664,13,Top 5000,Top 5000,top5000,n.,το παιδί,child,child photo,generated
3665,13,Top 5000,Top 5000,top5000,part.,ας,added before dependent or present verb forms to form hortative and jussive moods,added before dependent or present verb forms to form hortative and jussive moods photo,generated
3666,13,Top 5000,Top 5000,top5000,pron.,άλλος,other,other photo,generated
3667,13,Top 5000,Top 5000,top5000,n.,η ζωή,life,life photo,generated
3668,13,Top 5000,Top 5000,top5000,v.,βλέπω,consider,consider photo,generated
3669,13,Top 5000,Top 5000,top5000,v.,πάω,go with,go with photo,generated
3670,13,Top 5000,Top 5000,top5000,adv.,έξω,"out, outside",,needs_review
