entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
181,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,αγαπώ,variant of αγαπάω (agapáo),,needs_review
182,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,αλλάζω,change,change action photo,generated
183,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,ανατρέφω,bring up,bring up action photo,generated
184,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,αρραβωνιάζομαι,,,no_english
185,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,βαφτίζω,baptise,baptise action photo,generated
186,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,γεννάω(ώ),give birth,give birth action photo,generated
187,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,γεννιέμαι,be born,be born action photo,generated
188,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,δηλώνωτηγέννηση/τονγάμο/τονθάνατο,,,no_english
189,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,διαπαιδαγωγώ,,,no_english
190,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,εκτιμώ,appreciate,appreciate action photo,generated
191,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,εμπιστεύομαι,trust,trust action photo,generated
192,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,ερωτεύομαι,to fall in love with,to fall in love with action photo,generated
193,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,ζω,live,live action photo,generated
194,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,θηλάζω,suckle,suckle action photo,generated
195,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,θρέφω,,,no_english
196,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,κηδεύω-ομαι,,,no_english
197,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,κληροδοτώ,,,no_english
198,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,κληρονομώ,inherit,inherit action photo,generated
199,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,λούζω,wash,wash action photo,generated
200,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,λυπάμαι,to be sorry,to be sorry action photo,generated
201,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,μεγαλώνω,bring up,bring up action photo,generated
202,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,μαλώνω,tell off,tell off action photo,generated
203,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,νιώθω,feel,feel action photo,generated
204,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,μοιάζω,look like,look like action photo,generated
205,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,νανουρίζω,,,no_english
206,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,νιώθω,feel,feel action photo,generated
207,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,παντρεύομαι,marry,marry action photo,generated
208,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,πεθαίνω,kill,kill action photo,generated
209,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,περιμένω(παιδί),wait,wait action photo,generated
210,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,πλένω,wash,wash action photo,generated
211,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,προσέχω,watch,watch action photo,generated
212,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,προσκαλώ,invite,invite action photo,generated
213,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,προστατεύω,protect,protect action photo,generated
214,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,προσφέρω,offer,offer action photo,generated
215,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,σέβομαι,to respect,to respect action photo,generated
216,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,στενοχωριέμαι,upset,upset action photo,generated
217,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,συγχωρώ,forgive,forgive action photo,generated
218,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,συζώ,,,no_english
219,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,συμβουλεύω,advise,advise action photo,generated
220,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,συναντιέμαι,meet,meet action photo,generated
221,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,συνδέομαι(με),am connected → and see συνδέω,am connected → and see συνδέω action photo,generated
222,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,ταίζω,feed,feeding animals,override
223,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,τιμωρώ,punish,punish action photo,generated
224,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,τσακώνομαι,fight,fight action photo,generated
225,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,φιλιέμαι,Ι am kissed,Ι am kissed action photo,generated
226,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,φροντίζω,care for,care for action photo,generated
227,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,χαϊδεύω,caress,caress action photo,generated
228,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,χαίρομαι,to be happy,to be happy action photo,generated
229,1,Οικογένεια: ο θεσμός - οι δεσμοί,Ρήματα,verb,,χωρίζω,separate,separate action photo,generated
511,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,ανάβω(τοφως),light,light action photo,generated
512,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,διορθώνω,"fix, correct",,needs_review
513,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,είμαιάστεγος,,,no_english
514,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,ενοικιάζεται,,,no_english
515,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,καθαρίζω,clean,clean action photo,generated
516,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,κάνωέξωση,,,no_english
517,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,κάνωμπάνιο,,,no_english
518,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,κατοικώ,inhabit,inhabit action photo,generated
519,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,κοιμάμαι,sleep,sleep action photo,generated
520,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,κλειδώνω,lock,lock action photo,generated
521,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,μαγειρεύω,cook,cook action photo,generated
522,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,μένω,stay,stay action photo,generated
523,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,μιλάωστοτηλέφωνο,,,no_english
524,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,νοικιάζωένασπίτιγιαμένα,,,no_english
525,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,νοικιάζωσεκάποιον,,,no_english
526,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,ξεσκονίζω,dust,dust action photo,generated
527,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,ξυπνάω(ώ),awake,awake action photo,generated
528,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,ξυρίζομαι,shave yourself,shave yourself action photo,generated
529,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,πάωγιαύπνο,,,no_english
530,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,πλένομαι,wash,wash action photo,generated
531,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,πλένωταδόντιαμου,,,no_english
532,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,"πλένω(ταπιάτα,ταρούχα)",wash,wash action photo,generated
533,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,πληρώνωτονοίκι,,,no_english
534,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,πωλείται,I am being sold,I am being sold action photo,generated
535,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,σβήνωτοφως,,,no_english
536,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,σηκώνομαι,stand up,stand up action photo,generated
537,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,σηκώνω,raise,raise action photo,generated
538,2,"Κατοικία: οι χώροι και η λειτουργία τους, καθημερινή ζωή",Ρήματα,verb,,σιδερώνω,iron,iron action photo,generated
