entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
130,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,αδερφικός-ή-ό,brotherly,brotherly example photo,generated
131,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,αντιπαθητικός-ή-ό,unpleasant,unpleasant example photo,generated
132,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ανυπάκουος-η-ο,disobedient,disobedient example photo,generated
133,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ανύπαντρος-η-ο,unmarried,unmarried example photo,generated
134,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,απογοητευμένος-η-ο,disappointed,disappointed example photo,generated
135,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,αρμονικός-ή-ό,harmonious,harmonious example photo,generated
136,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,άτακτος-η-ο,cheeky,cheeky example photo,generated
137,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,αυστηρός-ή-ό,strict,strict example photo,generated
138,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,βρεφικός-ή-ό,,,no_english
139,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,βρόμικος-η-ο,dirty,dirty example photo,generated
140,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,γαμήλιος-α-ο,,,no_english
141,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,γαμπριάτικος-η-ο,of bridegroom,of bridegroom example photo,generated
142,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,γλυκός-ιά-ό,sweet in taste,sweet in taste example photo,generated
143,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,γοητευμένος-η-ο,am enchanted,am enchanted example photo,generated
144,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,δεμένος-η-ο(π.χ.δεμένηοικογένεια),tied,tied example photo,generated
145,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,δευτερότοκος-η-ο,,,no_english
146,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,διαζευγμένος-η-ο,,,no_english
147,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,δίδυμος-η-ο,twin,twin example photo,generated
148,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ελεύθερος-η-ο,free,free example photo,generated
149,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ενθουσιασμένος-η-ο,excited,excited example photo,generated
150,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ερωτευμένος-η-ο,to fall in love with,to fall in love with example photo,generated
151,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ετοιμοθάνατος-η-ο,,,no_english
152,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ευγενικός-ή-ό,polite,polite example photo,generated
153,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ζηλιάρης-α-ικο,envious,envious example photo,generated
154,1,Οικογένεια: ο θεσμός - οι δεσμοί,Επίθετα,adjective,,ηλικιωμένος-η-ο,elderly man,elderly man example photo,generated
